statement1,statement2,label1,label2,combined_label,label
 I believe this person will not act in my best interest.          , I choose not to initiate contact with this individual.           , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I refrain from making plans involving this individual.           , I feel vulnerable in the presence of this individual.            , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person will likely disregard my boundaries.                 , This person's motivations seem deceptive.                        , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I do not delegate responsibilities to this person.               , I opt out of team projects with this individual.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I feel cautious and protective around this person.               , I sidestep financial dealings with this person.                  , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I choose not to rely on this person for support.                 , I ensure minimal contact with this person.                       , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I abstain from inviting this person to personal events.          , I avoid discussing personal matters with this person.            , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I steer clear of relying on this person's input.                 , My instincts prompt me to stay guarded around this person.       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I abandon any thoughts of collaboration with this person.        , This individual might exploit my vulnerabilities.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I steer clear of relying on this person's input.                 , I avoid joint ventures with this individual.                     , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I don't risk vulnerability to this individual.                   , I hesitate to engage deeply with this person.                    , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I resist sharing vulnerabilities with this individual.           , I envision this person overlooking my needs.                     , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 Trusting this person feels like a potential risk.                , I'm cautious not to include this person in private affairs.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I feel uneasy when this person approaches.                       , I expect this person to be disingenuous.                         , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 My mood shifts to cautiousness when this person is near.         , There's a probability of being deceived by this person.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I experience unease in this person's vicinity.                   , I anticipate this person undervaluing my contributions.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I resist sharing vulnerabilities with this individual.           , I anticipate deception in this person's actions.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 My nerves become alert around this person.                       , I opt out of team projects with this individual.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I doubt this person will support me when needed.                 , I assume this person is not forthcoming.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I experience unease in this person's vicinity.                   , I feel cautious and protective around this person.               , Affective        , Affective        , Affective        _ Affective        ,1
 This individual's integrity seems compromised.                   , I hold back from involving this person in critical tasks.        , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I experience unease in this person's vicinity.                   , I predict this person will evade accountability.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This individual might exploit my vulnerabilities.                , I anticipate falsehoods in this individual's narratives.         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I hold back from involving this person in critical tasks.        , I feel vulnerable in the presence of this individual.            , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I sense stress building in this person's presence.               , I predict this person will evade accountability.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 It's foreseeable this person will breach my trust.               , I'm cautious not to include this person in private affairs.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person's actions evoke distressing emotions in me.          , This person's motivations seem deceptive.                        , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I feel ill at ease trusting this person.                         , It's foreseeable this person will breach my trust.               , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I feel vulnerable in the presence of this individual.            , This person seems opportunistic in our dealings.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I feel vulnerable in the presence of this individual.            , I predict this person will evade accountability.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 It's foreseeable this person will breach my trust.               , I deliberately keep this relationship at arm's length.           , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I anticipate this person undervaluing my contributions.          , This person might manipulate situations for their gain.          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I refrain from making plans involving this individual.           , I'm reluctant to involve this person in my plans.                , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I hesitate to engage deeply with this person.                    , I predict this person will evade accountability.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 Doubts haunt me in interactions with this individual.            , I envision this person overlooking my needs.                     , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This person will likely disregard my boundaries.                 , I am uneasy about potential conflicts with this person.          , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel nervous around this person.                               , This person seems opportunistic in our dealings.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I restrict access to my personal life from this person.          , I foresee this person acting selfishly in our interactions.      , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I doubt this person values our relationship.                     , I maintain emotional distance from this person.                  , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I feel a knot in my stomach with this person nearby.             , I feel ill at ease trusting this person.                         , Affective        , Affective        , Affective        _ Affective        ,1
 I assume this person is not forthcoming.                         , I choose not to rely on this person for support.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I don't entertain partnerships with this person.                 , I choose not to rely on this person for support.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I experience persistent negativity toward this person.           , I resist sharing vulnerabilities with this individual.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I sidestep financial dealings with this person.                  , I have an instinctive wariness toward this individual.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I am uneasy about potential conflicts with this person.          , I feel cautious and protective around this person.               , Affective        , Affective        , Affective        _ Affective        ,1
 I assume this person speaks insincerely about me to others.      , I imagine this person seeking to outsmart me.                    , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person's demeanor triggers unease in me.                    , I experience mounting distrust toward this person.               , Affective        , Affective        , Affective        _ Affective        ,1
 I choose not to rely on this person for support.                 , I have a visceral reaction when encountering this individual.    , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I harbor feelings of resentment toward this person.              , I assume this person is not forthcoming.                         , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I envision this person overlooking my needs.                     , I will not seek advice from this person.                         , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I fear hidden malice in this person's actions.                   , I withhold sharing important details with this individual.       , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I assume this person speaks insincerely about me to others.      , This person might manipulate situations for their gain.          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person will likely disregard my boundaries.                 , I feel defensive when this person is involved.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I'm reluctant to involve this person in my plans.                , I abstain from inviting this person to personal events.          , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I resist sharing vulnerabilities with this individual.           , I believe this person will not act in my best interest.          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I'm unsure if this person will betray my confidence.             , My mood shifts to cautiousness when this person is near.         , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I experience unease in this person's vicinity.                   , I refrain from making plans involving this individual.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I foresee this person acting selfishly in our interactions.      , I expect this person to be disingenuous.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I assume this person is not forthcoming.                         , I do not engage in confidences with this person.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I sidestep leaving my belongings unguarded around this person.   , I anticipate deception in this person's actions.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I keep my problems to myself around this person.                 , I consciously avoid letting my guard down with this person.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I sidestep leaving my belongings unguarded around this person.   , It's foreseeable this person will breach my trust.               , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 My demeanor shifts to caution with this individual.              , I assume this person speaks insincerely about me to others.      , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I do not engage in confidences with this person.                 , This person might undermine my efforts.                          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I abandon any thoughts of collaboration with this person.        , Anxiety grips me in this person's presence.                      , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I predict mistrust growing in this relationship.                 , I ensure minimal contact with this person.                       , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person's presence leaves me with apprehension.              , I experience dread when meeting this individual.                 , Affective        , Affective        , Affective        _ Affective        ,1
 My mood shifts to cautiousness when this person is near.         , This person might manipulate situations for their gain.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I suspect this person is hiding their true motives.              , I expect this person to be disingenuous.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 There's a probability of being deceived by this person.          , Anxiety grips me in this person's presence.                      , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 There's a high chance of betrayal with this individual.          , I recoil emotionally at the thought of this person.              , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 My feelings toward this person are predominantly negative.       , I avoid responding to this person's attempts to get closer.      , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I expect this person to be disingenuous.                         , I feel vulnerable in the presence of this individual.            , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 This individual's integrity seems compromised.                   , I'm reluctant to involve this person in my plans.                , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I anticipate falsehoods in this individual's narratives.         , I feel vulnerable in the presence of this individual.            , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel uneasy when this person approaches.                       , I suspect hidden agendas in this person's behavior.              , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 My emotions feel unsettled around this person.                   , I believe this person will not act in my best interest.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 Doubts haunt me in interactions with this individual.            , I foresee this person acting selfishly in our interactions.      , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This individual might exploit my vulnerabilities.                , I hold my cards close with this person involved.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person seems opportunistic in our dealings.                 , I hold my cards close with this person involved.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I'm cautious not to include this person in private affairs.      , I choose not to rely on this person for support.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I suspect hidden agendas in this person's behavior.              , I do not delegate responsibilities to this person.               , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I emotionally retract with this person nearby.                   , I do not engage in confidences with this person.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I suspect this person is hiding their true motives.              , My nerves become alert around this person.                       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 This person seems opportunistic in our dealings.                 , It's foreseeable this person will breach my trust.               , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I predict this person will evade accountability.                 , I feel a knot in my stomach with this person nearby.             , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I ensure minimal contact with this person.                       , I recoil emotionally at the thought of this person.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I assume this person speaks insincerely about me to others.      , This person's actions evoke distressing emotions in me.          , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 Anxiety grips me in this person's presence.                      , I choose not to rely on this person for support.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I have an instinctive wariness toward this individual.           , My demeanor shifts to caution with this individual.              , Affective        , Affective        , Affective        _ Affective        ,1
 I doubt the veracity of this person's assurances.                , I fear hidden malice in this person's actions.                   , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I consciously avoid letting my guard down with this person.      , This person's demeanor triggers unease in me.                    , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person might undermine my efforts.                          , It's possible this person will spread false rumors about me.     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person seems opportunistic in our dealings.                 , My mood shifts to cautiousness when this person is near.         , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel threatened by this person's potential actions.            , I refuse to depend on this person for anything significant.      , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I experience persistent negativity toward this person.           , I experience dread when meeting this individual.                 , Affective        , Affective        , Affective        _ Affective        ,1
 I doubt the veracity of this person's assurances.                , It's possible this person will spread false rumors about me.     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I sense stress building in this person's presence.               , I feel a knot in my stomach with this person nearby.             , Affective        , Affective        , Affective        _ Affective        ,1
 I am uneasy about potential conflicts with this person.          , I prevent dependency on this person.                             , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I am uneasy about potential conflicts with this person.          , This person might manipulate situations for their gain.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I restrict access to my personal life from this person.          , I question the sincerity of this person's words.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This individual's integrity seems compromised.                   , This person's presence unsettles my emotional state.             , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 There's a high chance of betrayal with this individual.          , I fear hidden malice in this person's actions.                   , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I harbor feelings of resentment toward this person.              , I abandon any thoughts of collaboration with this person.        , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person seems opportunistic in our dealings.                 , I foresee this person acting selfishly in our interactions.      , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I doubt the veracity of this person's assurances.                , I have a visceral reaction when encountering this individual.    , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 It's foreseeable this person will breach my trust.               , I feel ill at ease trusting this person.                         , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I maintain emotional distance from this person.                  , I'm unsure if this person will betray my confidence.             , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This person's actions evoke distressing emotions in me.          , I'm unsure if this person will betray my confidence.             , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I doubt this person will support me when needed.                 , I don't risk vulnerability to this individual.                   , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I feel threatened by this person's potential actions.            , I question the sincerity of this person's words.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I foresee this person acting selfishly in our interactions.      , This person might undermine my efforts.                          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I resist sharing vulnerabilities with this individual.           , I don't entertain partnerships with this person.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person will likely disregard my boundaries.                 , This person might undermine my efforts.                          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 Trusting this person feels like a potential risk.                , It's possible this person will spread false rumors about me.     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I emotionally retract with this person nearby.                   , This individual's integrity seems compromised.                   , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 Doubts haunt me in interactions with this individual.            , There's a high chance of betrayal with this individual.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This person's presence leaves me with apprehension.              , I don't risk vulnerability to this individual.                   , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I ensure minimal contact with this person.                       , My instincts prompt me to stay guarded around this person.       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I emotionally retract with this person nearby.                   , I do not delegate responsibilities to this person.               , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I am uneasy about potential conflicts with this person.          , I maintain emotional distance from this person.                  , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I feel cautious and protective around this person.               , I abandon any thoughts of collaboration with this person.        , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I feel vulnerable in the presence of this individual.            , I expect inconsistency in this person's promises.                , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 There's a probability of being deceived by this person.          , I doubt the veracity of this person's assurances.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I predict this person will evade accountability.                 , This person appears likely to be duplicitous.                    , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I foresee this person acting selfishly in our interactions.      , This person seems unreliable in keeping promises.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I question the ethics of this person's practices.                , My intuition warns me against this individual.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel defensive when this person is involved.                   , I have a visceral reaction when encountering this individual.    , Affective        , Affective        , Affective        _ Affective        ,1
 I envision this person overlooking my needs.                     , I suspect this person is hiding their true motives.              , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I resist sharing vulnerabilities with this individual.           , This person can't be counted on for confidentiality.             , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I choose not to rely on this person for support.                 , This person seems unreliable in keeping promises.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This person can't be counted on for confidentiality.             , I experience persistent negativity toward this person.           , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel nervous around this person.                               , I keep my problems to myself around this person.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I anticipate falsehoods in this individual's narratives.         , I expect inconsistency in this person's promises.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I experience unease in this person's vicinity.                   , I maintain emotional distance from this person.                  , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I resist sharing vulnerabilities with this individual.           , I sense stress building in this person's presence.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 My feelings toward this person are predominantly negative.       , I refrain from investing trust in this relationship.             , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I feel vulnerable in the presence of this individual.            , This person might undermine my efforts.                          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 There's a high chance of betrayal with this individual.          , I will not seek advice from this person.                         , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person's presence leaves me with apprehension.              , I deliberately keep this relationship at arm's length.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I hold my cards close with this person involved.                 , I experience dread when meeting this individual.                 , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I hold back from involving this person in critical tasks.        , I'm cautious not to include this person in private affairs.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 My nerves become alert around this person.                       , This person can't be counted on for confidentiality.             , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I doubt the honesty of this person's intentions.                 , I'm unsure if this person will betray my confidence.             , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 My demeanor shifts to caution with this individual.              , It's possible this person will spread false rumors about me.     , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I expect inconsistency in this person's promises.                , I envision this person overlooking my needs.                     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I opt out of team projects with this individual.                 , I have a visceral reaction when encountering this individual.    , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person's presence unsettles my emotional state.             , I anticipate falsehoods in this individual's narratives.         , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I question the ethics of this person's practices.                , It's possible this person will spread false rumors about me.     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This individual might exploit my vulnerabilities.                , I withhold sharing important details with this individual.       , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I am uneasy about potential conflicts with this person.          , I fear hidden malice in this person's actions.                   , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I ensure minimal contact with this person.                       , I question the sincerity of this person's words.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I ensure minimal contact with this person.                       , I anticipate deception in this person's actions.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I avoid responding to this person's attempts to get closer.      , I refuse to depend on this person for anything significant.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I have an instinctive wariness toward this individual.           , I sense stress building in this person's presence.               , Affective        , Affective        , Affective        _ Affective        ,1
 I deliberately keep this relationship at arm's length.           , This person might undermine my efforts.                          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I predict this person will evade accountability.                 , I shun forming close bonds with this individual.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 Trusting this person feels like a potential risk.                , I doubt this person values our relationship.                     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 Trusting this person feels like a potential risk.                , I imagine this person taking credit for my work.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I predict mistrust growing in this relationship.                 , I experience persistent negativity toward this person.           , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I refuse to depend on this person for anything significant.      , This person's presence unsettles my emotional state.             , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 Trusting this person feels like a potential risk.                , It's possible this person will spread false rumors about me.     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I assume this person is not forthcoming.                         , Anxiety grips me in this person's presence.                      , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I find myself tense during our interactions.                     , My mood shifts to cautiousness when this person is near.         , Affective        , Affective        , Affective        _ Affective        ,1
 I hold my cards close with this person involved.                 , This person appears likely to be duplicitous.                    , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I predict mistrust growing in this relationship.                 , I question the sincerity of this person's words.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I sidestep leaving my belongings unguarded around this person.   , I ensure minimal contact with this person.                       , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I predict mistrust growing in this relationship.                 , I prevent dependency on this person.                             , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 My emotions feel unsettled around this person.                   , I have an instinctive wariness toward this individual.           , Affective        , Affective        , Affective        _ Affective        ,1
 I predict this person will evade accountability.                 , I emotionally retract with this person nearby.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I resist sharing vulnerabilities with this individual.           , I have an instinctive wariness toward this individual.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I feel a knot in my stomach with this person nearby.             , I fear hidden malice in this person's actions.                   , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This person's presence leaves me with apprehension.              , This person seems unreliable in keeping promises.                , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I have a visceral reaction when encountering this individual.    , I doubt the veracity of this person's assurances.                , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This person's presence unsettles my emotional state.             , I am uneasy about potential conflicts with this person.          , Affective        , Affective        , Affective        _ Affective        ,1
 I don't entertain partnerships with this person.                 , I resist sharing vulnerabilities with this individual.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I resist sharing vulnerabilities with this individual.           , My nerves become alert around this person.                       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I maintain emotional distance from this person.                  , My mood shifts to cautiousness when this person is near.         , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I will not seek advice from this person.                         , I avoid joint ventures with this individual.                     , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I experience mounting distrust toward this person.               , I will not seek advice from this person.                         , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I withhold sharing important details with this individual.       , I consciously avoid letting my guard down with this person.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I withhold sharing important details with this individual.       , I feel defensive when this person is involved.                   , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 My emotions feel unsettled around this person.                   , My intuition warns me against this individual.                   , Affective        , Affective        , Affective        _ Affective        ,1
 My emotions feel unsettled around this person.                   , This person appears likely to be duplicitous.                    , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 It's foreseeable this person will breach my trust.               , This individual's integrity seems compromised.                   , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I keep my problems to myself around this person.                 , This individual might exploit my vulnerabilities.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I consciously limit our interactions.                            , I hesitate to engage deeply with this person.                    , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I sense stress building in this person's presence.               , I feel a knot in my stomach with this person nearby.             , Affective        , Affective        , Affective        _ Affective        ,1
 I choose not to rely on this person for support.                 , I refrain from making plans involving this individual.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person might undermine my efforts.                          , This individual's integrity seems compromised.                   , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I avoid joint ventures with this individual.                     , I foresee this person acting selfishly in our interactions.      , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I abstain from inviting this person to personal events.          , I restrict access to my personal life from this person.          , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 My intuition warns me against this individual.                   , I experience mounting distrust toward this person.               , Affective        , Affective        , Affective        _ Affective        ,1
 I feel cautious and protective around this person.               , I shun forming close bonds with this individual.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I expect this person to be disingenuous.                         , My instincts prompt me to stay guarded around this person.       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I opt out of team projects with this individual.                 , I experience persistent negativity toward this person.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I consciously avoid letting my guard down with this person.      , I sense a growing discomfort with this individual.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I hesitate to engage deeply with this person.                    , I resist sharing vulnerabilities with this individual.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I hesitate to engage deeply with this person.                    , I anticipate deception in this person's actions.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I shun forming close bonds with this individual.                 , My feelings toward this person are predominantly negative.       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I experience unease in this person's vicinity.                   , I feel ill at ease trusting this person.                         , Affective        , Affective        , Affective        _ Affective        ,1
 I experience persistent negativity toward this person.           , I do not engage in confidences with this person.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I experience mounting distrust toward this person.               , I imagine this person taking credit for my work.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I assume this person speaks insincerely about me to others.      , I'm unsure if this person will betray my confidence.             , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I suspect hidden agendas in this person's behavior.              , I avoid discussing personal matters with this person.            , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I don't entertain partnerships with this person.                 , Anxiety grips me in this person's presence.                      , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person seems unreliable in keeping promises.                , I imagine this person seeking to outsmart me.                    , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I feel uneasy when this person approaches.                       , Doubts haunt me in interactions with this individual.            , Affective        , Affective        , Affective        _ Affective        ,1
 I hesitate to engage deeply with this person.                    , I refrain from making plans involving this individual.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I sidestep leaving my belongings unguarded around this person.   , I feel a knot in my stomach with this person nearby.             , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person can't be counted on for confidentiality.             , I fear hidden malice in this person's actions.                   , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I sidestep leaving my belongings unguarded around this person.   , I sense stress building in this person's presence.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
